topic_id,word_id,response,percentage
3,topic-3-00542,and,90.0
3,topic-3-00543,died,10.0
3,topic-3-00544,out,18.0
3,topic-3-00545,the,41.0
3,topic-3-00546,the,40.0
3,topic-3-00547,was,23.0
3,topic-3-00548,not,16.0
3,topic-3-00549,the,53.0
3,topic-3-00550,little,11.0
3,topic-3-00551,came,42.0
3,topic-3-00552,what,38.0
3,topic-3-00553,and,78.0
3,topic-3-00554,and,89.0
3,topic-3-00555,said,50.0
3,topic-3-00556,to,96.0
3,topic-3-00557,help,95.0
3,topic-3-00558,said,40.0
3,topic-3-00559,little,36.0
3,topic-3-00560,rooster,83.0
3,topic-3-00561,said,37.0
3,topic-3-00562,said,51.0
3,topic-3-00563,itself,31.0
3,topic-3-00564,across,47.0
3,topic-3-00565,the,96.0
3,topic-3-00566,water,78.0
3,topic-3-00567,the,46.0
3,topic-3-00568,little,39.0
3,topic-3-00569,rooster,94.0
3,topic-3-00570,drove,33.0
3,topic-3-00571,the,76.0
3,topic-3-00572,carriage,76.0
3,topic-3-00573,across,55.00000000000001
3,topic-3-00574,the,36.0
3,topic-3-00575,was,23.0
3,topic-3-00576,fell,36.0
3,topic-3-00577,the,95.0
3,topic-3-00578,other,62.0
3,topic-3-00579,side,93.0
3,topic-3-00580,when,48.0
3,topic-3-00581,the,86.0
3,topic-3-00582,carriage,70.0
3,topic-3-00583,hen,39.0
3,topic-3-00584,hen,92.0
3,topic-3-00585,but,54.0
3,topic-3-00586,the,34.0
3,topic-3-00587,was,87.0
3,topic-3-00588,too,28.999999999999996
3,topic-3-00589,many,88.0
3,topic-3-00590,animals,43.0
3,topic-3-00591,on,45.0
3,topic-3-00592,on,50.0
3,topic-3-00593,the,94.0
3,topic-3-00594,carriage,82.0
3,topic-3-00595,of,81.0
3,topic-3-00596,the,94.0
3,topic-3-00597,carriage,93.0
3,topic-3-00598,so,40.0
3,topic-3-00599,the,33.0
3,topic-3-00600,carriage,54.0
3,topic-3-00601,was,27.0
3,topic-3-00602,into,30.0
3,topic-3-00603,and,50.0
3,topic-3-00604,fell,25.0
3,topic-3-00605,all,40.0
3,topic-3-00606,fell,60.0
3,topic-3-00607,into,57.99999999999999
3,topic-3-00608,the,98.0
3,topic-3-00609,water,87.0
3,topic-3-00610,and,85.0
3,topic-3-00611,drowned,72.0
3,topic-3-00612,the,59.0
3,topic-3-00613,the,69.0
3,topic-3-00614,little,65.0
3,topic-3-00615,rooster,87.0
3,topic-3-00616,was,67.0
3,topic-3-00617,all,25.0
3,topic-3-00618,alone,56.00000000000001
3,topic-3-00619,and,69.0
3,topic-3-00620,the,72.0
3,topic-3-00621,little,55.00000000000001
3,topic-3-00622,little,49.0
3,topic-3-00623,hen,93.0
3,topic-3-00624,he,54.0
3,topic-3-00625,was,21.0
3,topic-3-00626,a,80.0
3,topic-3-00627,grave,49.0
3,topic-3-00628,and,40.0
3,topic-3-00629,the,62.0
3,topic-3-00630,and,71.0
3,topic-3-00631,buried,31.0
3,topic-3-00632,her,85.0
3,topic-3-00633,in,40.0
3,topic-3-00634,he,39.0
3,topic-3-00635,he,76.0
3,topic-3-00636,went,26.0
3,topic-3-00637,a,76.0
3,topic-3-00638,grave,21.0
3,topic-3-00639,of,28.999999999999996
3,topic-3-00640,the,46.0
3,topic-3-00641,and,66.0
3,topic-3-00642,he,27.0
3,topic-3-00643,on,37.0
3,topic-3-00644,it,45.0
3,topic-3-00645,and,48.0
3,topic-3-00646,cried,33.0
3,topic-3-00647,for,59.0
3,topic-3-00648,for,71.0
3,topic-3-00649,long,42.0
3,topic-3-00650,that,72.0
3,topic-3-00651,he,78.0
3,topic-3-00652,died,31.0
3,topic-3-00653,died,66.0
3,topic-3-00654,the,56.00000000000001
3,topic-3-00655,that,28.999999999999996
3,topic-3-00656,the,51.0
3,topic-3-00657,was,43.0
3,topic-3-00658,dead,60.0
